Miami,25.78,-80.21
Daytona Beach,29.2,-81.09
Jacksonville,30.34,-81.66
Charleston,32.82,-79.96
Wilmington,34.21,-77.89
Norfolk,36.92,-76.24
Ocean City,38.39,-75.06
Atlantic City,39.38,-74.45
New York,40.66,-73.94
Boston,42.33,-71.02
Portland,43.67,-70.27
Halifax,44.67,-63.61
St. John's,47.58,-52.69
Bermuda,32.33,-64.75
