New Orleans,29.97,-90.06
Tampa,27.97,-82.48
Havana,23.13,-82.39
Cancun,21.17,-86.83
Veracruz,19.19,-96.14
Tampico,22.22,-97.85
Brownsville,26.02,-97.45
Corpus Christi,27.74,-97.4
Lafayette,30.21,-92.03
Pensacola,30.44,-87.19
Key West,24.57,-81.78
Houston,29.78,-95.39
Tallahassee,30.46,-84.25
Ft. Myers,26.62,-81.83
Campeche,19.85,-90.53
