1314057600,19.16,-69.25,1000,38
1314061200,19.61,-69.07,997,39
1314064800,19.76,-69.01,995,40
1314068400,19.87,-69.34,994,39
1314072000,19.78,-69.56,993,38
1314075600,19.93,-69.5,992,38
1314079200,20.14,-69.6,991,42
1314082800,20.19,-69.76,989,43
1314086400,20.25,-69.92,986,43
1314090000,20.3,-70.08,984,44
1314093600,20.36,-70.25,982,42
1314097200,20.41,-70.41,981,42
1314100800,20.47,-70.57,981,42
1314104400,20.52,-70.73,982,42
1314108000,20.58,-70.9,982,43
1314111600,20.73,-70.84,981,43
1314115200,20.78,-71,979,45
1314118800,20.84,-71.17,977,46
1314122400,20.89,-71.33,975,47
1314126000,20.79,-71.55,974,46
1314129600,20.79,-71.55,973,44
1314133200,20.84,-71.72,974,42
1314136800,21,-71.66,974,42
1314140400,20.9,-71.88,972,41
1314144000,20.95,-72.05,971,43
1314147600,20.95,-72.05,969,46
1314151200,21,-72.21,968,48
1314154800,21.05,-72.38,969,48
1314158400,21.05,-72.38,970,46
1314162000,21.26,-72.49,969,44
1314165600,21.31,-72.65,969,46
1314169200,21.51,-72.77,967,46
1314172800,21.56,-72.93,966,46
1314176400,21.72,-72.88,964,49
1314180000,21.97,-73.16,964,52
1314183600,22.02,-73.33,965,51
1314187200,22.23,-73.44,965,48
1314190800,22.28,-73.61,966,49
1314194400,22.33,-73.78,965,51
1314198000,22.38,-73.95,963,51
1314201600,22.43,-74.12,961,51
1314205200,22.63,-74.24,959,52
1314208800,22.63,-74.24,958,54
1314212400,22.84,-74.36,957,54
1314216000,22.88,-74.53,956,54
1314219600,22.93,-74.7,955,53
1314223200,23.14,-74.82,955,51
1314226800,23.18,-74.99,954,52
1314230400,23.23,-75.16,953,53
1314234000,23.23,-75.16,952,54
1314237600,23.28,-75.34,952,53
1314241200,23.43,-75.29,951,56
1314244800,23.48,-75.46,950,57
1314248400,23.68,-75.58,949,55
1314252000,23.89,-75.71,949,56
1314255600,24.09,-75.83,948,57
1314259200,24.09,-75.83,946,56
1314262800,24.3,-75.96,944,56
1314266400,24.66,-76.03,944,57
1314270000,24.71,-76.21,945,57
1314273600,24.91,-76.34,946,57
1314277200,25.07,-76.29,946,58
1314280800,25.28,-76.42,948,58
1314284400,25.32,-76.59,949,57
1314288000,25.49,-76.54,948,56
1314291600,25.69,-76.67,947,57
1314295200,25.9,-76.81,947,59
1314298800,26.06,-76.76,947,59
1314302400,26.26,-76.89,945,62
1314306000,26.43,-76.84,944,63
1314309600,26.59,-76.79,943,62
1314313200,26.79,-76.92,943,64
1314316800,27,-77.06,942,63
1314320400,27.16,-77.01,942,62
1314324000,27.37,-77.14,943,60
1314327600,27.58,-77.28,944,59
1314331200,27.74,-77.23,944,59
1314334800,27.9,-77.18,943,59
1314338400,28.11,-77.31,943,60
1314342000,28.27,-77.27,943,59
1314345600,28.44,-77.22,942,59
1314349200,28.65,-77.35,941,61
1314352800,28.81,-77.3,942,62
1314356400,29.02,-77.44,943,61
1314360000,29.18,-77.39,943,59
1314363600,29.35,-77.34,943,58
1314367200,29.51,-77.29,944,59
1314370800,29.72,-77.43,945,59
1314374400,29.89,-77.38,945,59
1314378000,29.89,-77.38,945,57
1314381600,30.05,-77.33,945,58
1314385200,30.22,-77.28,946,57
1314388800,30.38,-77.23,946,58
1314392400,30.59,-77.37,946,58
1314396000,30.76,-77.32,947,57
1314399600,30.92,-77.27,948,58
1314403200,31.09,-77.22,949,58
1314406800,31.09,-77.22,949,58
1314410400,31.25,-77.17,950,58
1314414000,31.42,-77.12,951,59
1314417600,31.59,-77.06,951,57
1314421200,31.8,-77.21,950,53
1314424800,31.96,-77.15,950,52
1314428400,32.13,-77.1,950,51
1314432000,32.3,-77.05,950,51
1314435600,32.46,-77,949,53
1314439200,32.63,-76.94,949,55
1314442800,32.8,-76.89,949,55
1314446400,32.96,-76.84,949,56
1314450000,33.13,-76.78,948,56
1314453600,33.3,-76.73,949,56
1314457200,33.46,-76.67,949,57
1314460800,33.68,-76.82,949,57
1314464400,33.84,-76.77,949,56
1314468000,34.13,-76.45,949,56
1314471600,34.3,-76.4,951,56
1314475200,34.68,-76.49,951,55
1314478800,34.68,-76.49,952,55
1314482400,34.85,-76.43,953,56
1314486000,35.02,-76.38,955,57
1314489600,35.19,-76.32,956,57
